ç,,,,,
Município,ibge,latitude,longitude,IMERS/IQA/IQA 2022 (-),IMERS/IQA/IQA 2023 (-)
Aceguá,4300034,"-31,864015","-54,164732","45,68966","74,40539"
Água Santa,4300059,"-28,175055","-52,034633","60,86957","68,2926"
Agudo,4300109,"-29,645663","-53,258692","74,60993","62,1344"
Ajuricaba,4300208,"-28,237729","-53,772819","55,21739","83,22714"
Alecrim,4300307,"-27,661074","-54,767096","62,45255","65,86882"
Alegrete,4300406,"-29,782043","-55,79587","47,9085","49,63564"
Alegria,4300455,"-27,8373","-54,057366",49,"75,48419"
Almirante Tamandaré do Sul,4300471,"-28,113726","-52,913715","62,45255","72,49998"
Alpestre,4300505,"-27,248769","-53,037366","61,45455","86,23827"
Alto Alegre,4300554,"-28,774746","-52,990755","62,45255","65,86882"
Alto Feliz,4300570,"-29,390139","-51,315816","76,78571","62,90008"
Alvorada,4300604,"-29,997493","-51,077729","43,86185","48,56673"
Amaral Ferrador,4300638,"-30,875148","-52,25127","41,53846","71,7793"
Ametista do Sul,4300646,"-27,356425","-53,192177","63,72881","49,06481"
André da Rocha,4300661,"-28,631977","-51,573738","62,45255","66,25"
Anta Gorda,4300703,"-28,970884","-52,015823","62,45255","59,28574"
Antônio Prado,4300802,"-28,855438","-51,283577","68,66667","69,63035"
Arambaré,4300851,"-30,909346","-51,501318","36,19048","54,16421"
Araricá,4300877,"-29,617244","-50,925677","62,20472","56,41983"
Aratiba,4300901,"-27,394444","-52,303832","76,12245","79,89801"
Arroio do Meio,4301008,"-29,398891","-51,947449","60,52402","73,14264"
Arroio do Padre,4301073,"-31,440644","-52,433302","53,24324","73,55974"
Arroio do Sal,4301057,"-29,592961","-49,932958","61,20567","57,53199"
Arroio do Tigre,4301206,"-29,33586","-53,086396","81,68831","63,98088"
Arroio dos Ratos,4301107,"-30,090013","-51,733807","50,23077","66,67033"
Arroio Grande,4301305,"-32,236344","-53,082248","72,44898","42,08331"
Arvorezinha,4301404,"-28,873049","-52,179512",30,"34,94948"
Augusto Pestana,4301503,"-28,513352","-53,98947","69,64286","49,10895"
Áurea,4301552,"-27,693787","-52,054176",73,"49,77862"
Bagé,4301602,"-31,330502","-54,107083","49,4028","60,04387"
Balneário Pinhal,4301636,"-30,239751","-50,236701","37,75","63,10146"
Barão,4301651,"-29,380864","-51,497538","79,01961","62,03409"
Barão de Cotegipe,4301701,"-27,617093","-52,37775","45,60976","91,93953"
Barão do Triunfo,4301750,"-30,390484","-51,737669","50,89286","56,07307"
Barra do Guarita,4301859,"-27,18807","-53,714413","53,18182","70,38402"
Barra do Quaraí,4301875,"-30,211075","-57,55706","19,35484","64,13152"
Barra do Ribeiro,4301909,"-30,292675","-51,300874","27,65625","63,2286"
Barra do Rio Azul,4301925,"-27,408758","-52,414105","62,45255","65,86882"
Barra Funda,4301958,"-27,923826","-53,036297","82,85714","44,73155"
Barracão,4301800,"-27,68023","-51,460151","56,52174","72,72752"
Barros Cassal,4302006,"-29,087704","-52,587752","27,89474","44,09266"
Benjamin Constant do Sul,4302055,"-27,508584","-52,602225","62,45255","66,15382"
Bento Gonçalves,4302105,"-29,167402","-51,51556","61,29487","65,93748"
Boa Vista das Missões,4302154,"-27,666111","-53,312756","82,85714","16,34763"
Boa Vista do Buricá,4302204,"-27,671567","-54,109481","76,54545","77,63405"
Boa Vista do Cadeado,4302220,"-28,577434","-53,813735","58,14815","85,76578"
Boa Vista do Incra,4302238,"-28,818488","-53,388705","52,10526","55,05483"
Boa Vista do Sul,4302253,"-29,350119","-51,677272","73,5","68,60372"
Bom Jesus,4302303,"-28,670578","-50,433349","32,42424","86,9466"
Bom Princípio,4302352,"-29,494485","-51,355519","65,1145","68,80851"
Bom Progresso,4302378,"-27,546774","-53,866791","53,63636","73,2246"
Bom Retiro do Sul,4302402,"-29,607423","-51,943847","69,75806","73,24626"
Boqueirão do Leão,4302451,"-29,305158","-52,42805","25,45455","95,76542"
Bossoroca,4302501,"-28,730724","-54,909811","44,8","56,32994"
