ç
"Município","ibge","latitude","longitude","Contabilidade Social/Série 2002 em diante/PIB per capita 2002 (-)","Contabilidade Social/Série 2002 em diante/PIB per capita 2003 (-)","Contabilidade Social/Série 2002 em diante/PIB per capita 2004 (-)","Contabilidade Social/Série 2002 em diante/PIB per capita 2005 (-)","Contabilidade Social/Série 2002 em diante/PIB per capita 2006 (-)","Contabilidade Social/Série 2002 em diante/PIB per capita 2007 (-)","Contabilidade Social/Série 2002 em diante/PIB per capita 2008 (-)","Contabilidade Social/Série 2002 em diante/PIB per capita 2009 (-)","Contabilidade Social/Série 2002 em diante/PIB per capita 2010 (R$)","Contabilidade Social/Série 2002 em diante/PIB per capita 2011 (R$)","Contabilidade Social/Série 2002 em diante/PIB per capita 2012 (R$)","Contabilidade Social/Série 2002 em diante/PIB per capita 2013 (R$)","Contabilidade Social/Série 2002 em diante/PIB per capita 2014 (R$)","Contabilidade Social/Série 2002 em diante/PIB per capita 2015 (R$)","Contabilidade Social/Série 2002 em diante/PIB per capita 2016 (R$)","Contabilidade Social/Série 2002 em diante/PIB per capita 2017 (R$)","Contabilidade Social/Série 2002 em diante/PIB per capita 2018 (R$)","Contabilidade Social/Série 2002 em diante/PIB per capita 2019 (R$)","Contabilidade Social/Série 2002 em diante/PIB per capita 2020 (R$)","Contabilidade Social/Série 2002 em diante/PIB per capita 2021 (R$)","Contabilidade Social/Série 2002 em diante/PIB per capita 2022 (-)"
"Aceguá","4300034","-31,864015000000","-54,164732000000","-","-","-","-","-","-","-","-","23.776,87","26.175,89","24.066,83","39.171,43","45.310,68","51.154,67","54.136,70","55.799,47","50.823,09","51.545,52","53.658,10","91.994,39","-"
"Água Santa","4300059","-28,175055000000","-52,034633000000","-","-","-","-","-","-","-","-","26.985,47","30.589,01","35.978,78","63.605,38","59.909,50","68.969,23","69.962,78","72.580,06","88.171,48","86.538,02","92.499,14","146.445,07","-"
"Agudo","4300109","-29,645663000000","-53,258692000000","-","-","-","-","-","-","-","-","14.649,46","17.002,57","18.181,49","20.703,32","25.117,46","25.057,96","25.800,86","29.000,80","30.296,71","32.580,38","33.059,99","40.863,53","-"
"Ajuricaba","4300208","-28,237729000000","-53,772819000000","-","-","-","-","-","-","-","-","18.307,80","26.221,22","22.490,07","27.371,49","26.824,21","32.248,41","35.732,39","35.326,48","42.317,77","43.050,72","46.525,19","74.961,71","-"
"Alecrim","4300307","-27,661074000000","-54,767096000000","-","-","-","-","-","-","-","-","8.293,73","9.334,69","9.895,75","12.158,66","12.794,83","13.687,25","15.063,05","15.815,35","18.164,17","19.932,11","22.752,43","28.383,93","-"
"Alegrete","4300406","-29,782043000000","-55,795870000000","-","-","-","-","-","-","-","-","13.703,92","14.313,44","16.913,72","19.176,10","21.199,24","23.186,08","24.317,97","25.838,78","29.488,32","29.064,33","30.650,95","42.485,08","-"
"Alegria","4300455","-27,837300000000","-54,057366000000","-","-","-","-","-","-","-","-","10.843,38","13.149,76","11.214,83","17.647,08","19.862,64","22.384,79","27.283,31","24.777,65","31.937,68","32.055,52","37.874,25","47.648,88","-"
"Almirante Tamandaré do Sul","4300471","-28,113726000000","-52,913715000000","-","-","-","-","-","-","-","-","29.465,19","35.636,23","28.224,11","49.931,66","49.748,88","58.018,30","66.851,15","62.691,92","83.151,36","83.176,16","94.474,81","142.847,94","-"
"Alpestre","4300505","-27,248769000000","-53,037366000000","-","-","-","-","-","-","-","-","10.401,00","11.145,44","10.743,61","14.042,23","15.678,52","70.085,19","59.494,74","71.389,48","76.020,15","85.782,67","87.530,80","33.369,80","-"
"Alto Alegre","4300554","-28,774746000000","-52,990755000000","-","-","-","-","-","-","-","-","15.977,96","20.415,31","21.178,48","31.242,78","29.501,78","31.030,84","36.680,67","34.808,14","39.919,67","37.883,13","34.428,55","66.755,15","-"
"Alto Feliz","4300570","-29,390139000000","-51,315816000000","-","-","-","-","-","-","-","-","12.413,15","13.966,72","15.262,36","19.243,45","21.539,17","25.394,37","26.745,37","28.565,60","31.198,83","39.597,89","40.251,15","53.088,35","-"
"Alvorada","4300604","-29,997493000000","-51,077729000000","-","-","-","-","-","-","-","-","6.952,51","7.822,66","8.846,02","9.765,91","10.637,31","11.332,08","12.583,40","11.964,61","12.933,66","13.575,90","14.589,28","15.550,82","-"
"Amaral Ferrador","4300638","-30,875148000000","-52,251270000000","-","-","-","-","-","-","-","-","7.966,37","10.039,44","9.636,32","12.299,58","11.107,49","12.734,01","16.342,72","14.778,94","14.087,72","17.277,44","16.540,18","20.688,31","-"
"Ametista do Sul","4300646","-27,356425000000","-53,192177000000","-","-","-","-","-","-","-","-","7.102,16","7.750,39","8.684,03","9.608,50","10.417,26","11.506,74","12.016,90","13.926,74","16.246,13","18.276,30","18.258,95","24.036,02","-"
"André da Rocha","4300661","-28,631977000000","-51,573738000000","-","-","-","-","-","-","-","-","29.323,36","34.997,61","31.869,13","78.646,73","83.560,34","82.081,16","95.207,42","78.188,74","83.246,00","79.890,47","66.019,37","142.922,95","-"
"Anta Gorda","4300703","-28,970884000000","-52,015823000000","-","-","-","-","-","-","-","-","14.677,96","17.697,12","18.144,97","23.635,19","27.142,16","28.173,67","30.835,84","33.519,72","35.814,12","35.523,57","40.264,22","54.248,70","-"
"Antônio Prado","4300802","-28,855438000000","-51,283577000000","-","-","-","-","-","-","-","-","19.520,51","21.614,71","24.188,17","28.001,02","32.224,11","36.218,62","39.147,20","41.297,72","47.020,42","50.442,52","51.432,06","61.154,04","-"
"Arambaré","4300851","-30,909346000000","-51,501318000000","-","-","-","-","-","-","-","-","18.140,69","16.674,71","22.367,26","27.334,45","30.552,60","34.572,64","35.992,97","37.252,23","33.630,22","38.456,43","43.090,63","80.442,31","-"
